text_preprocessed,Polarity
salam kerja tenaga buat sehat sukses tugas selamat alamin nkriaminaminaminyarobsl sedang mu umat bangsa anak beri selalu swt allah moga lengkap segala nusantara negara ibukota semangat lanjut indonesia maju lebih harap depan masa rencana penuh tampak wujud mulai ikn bangun setapak alhamdulillah optimis,Positif
meikarta,Negatif
wkwk eh nih hantu kota calon,Negatif
subsidi mending dana bapak susah rakyat buat,Negatif
an presiden istana siap trimakasih bapak buat,Positif
kok arab duit minjem kadrun jangan,Netral
tinggal selamat,Negatif
iya babat hutan kayu ikn,Netral
pribumi milik bukan,Negatif
bagi jadi diri awal pahlawan cucu cerita kalian indah bakal suatu sana kerja buat selamat anak nusantara ibukota,Positif
perintah pindah besar ekonomi pusat rame tetep jakarta indonesia,Positif
amp mahal biaya demo makin proyek tir ketar kadrun susah sukses ikn,Positif
aamiin,Netral
komunis proyek,Negatif
serta jokowi kasih panjangnyaterima pendek jangka pikir yakin anggar sekarang perintah bakal bapak buat indonesia maju,Positif
berkah tetap kontruksi lancar kerja moga,Positif
henti mungkin yohanes kalau proyek besar presiden,Negatif
quot banding urgensi ngotot seh proyek ekonomi kok buat,Negatif
jilid meikarta,Negatif
sabar ambil kata semua berapa jalan terus ancang lalu tahun projek baru dar nya tanah lihat diri iya siap rakyat indonesia masa mulai bangun,Positif
cinta widodo joko ku presiden bapak sehat selalu negara indonesia,Positif
keren,Positif
waktu tepat selesai lancar moga,Positif
butuh kuli cari dong mau jadi kerja,Netral
ibu layak segera jakarta jadi kota moga ikn,Positif
like be kalimantan warga,Netral
tenggelam sangat putus ibu tepat pindah jakarta kota,Positif
perhati bagus hutan,Positif
mantap makin,Positif
hutang uang kurang,Negatif
banyak kontraktor bumn wika loker bang sertifikasi info butuh cari jadi bakal kerja ikn,Netral
asn pindah ikn alhamdulillah,Positif
hambalang akhir kayak ganti ragu selesai baru kalau proyek jadi kok presiden kota meikarta lanjut,Negatif
mudah dayak suku khusus budaya ri punya datang tolak putri peluang daerah putra bumi sama timur masyarakat ahli daya serap yth mohon kalimantan jalan lancar aamiin proyek besar pribumi bapak kerja tenaga beri moga harap ikn bangun,Positif
china asal orang kumpul tempat hutang biaya milik ikn,Negatif
sahabat turun raja banyak kalimantan arab istana,Netral
kaya pakganjar takut tinggi keras perlu nomor hidup umur memang dunia baik lah jiwa mantap sangat tahun kalau jokowi besar ekonomi jadi presiden bapak rakyat kerja moga negara lanjut indonesia maju,Positif
ribu puluh sampe nya kerja ikn,Netral
hambur sayang mimpi baswedan anies pensiun hendak paksa usah seperti uang kalau jokowi proyek jadi presiden negara lanjut,Negatif
aman cebong amp tetep kadrun,Netral
ikut ri presiden buat,Netral
jauh penting urus nyata mimpi memang mau kalau rakyat,Netral
rezim mikir miskin manfaat ambisius boros kurang kalau proyek susah rakyat buat,Negatif
yt update hari tiap pantau orang banyak proyek ikn bangun,Netral
tua emang tau orang bang susah,Netral
marauke sabang biar bikin progres trimkasih tau update masyarakat terus jadi lanjut indonesia ikn,Positif
amanah pimpin siapa cepat era ikan progres terus nya tetap lancar jokowi proyek bapak moga lanjut lebih bangun alhamdulillah,Positif
konsorsium pribadi kembang asai pakai tuju hutang baru tanah urgensi kalau besar bukan ikn,Positif
investor mangkrak paling,Negatif
nkri doa hambat baik lancar moga,Positif
hasil nikmat cukup lapang rb dipake logika ter kan banyak semua baru nya mungkin iya rakyat kerja ikn,Netral
hutang duit,Negatif
nyatergantungnya atau bobot fakta landas dulu omongin tahu ridlo usah perlu orang kalau sekarang bukan iya,Netral
jawa kopi rokok kuli ku kalian istana buat beri bangun,Netral
samarinda trutama kaltim wilayah buka usaha positif dampak lapang banyak selesai baru makin siap kerja moga depan ikn,Positif
khawatir percaya ganjar mati langsung terus henti kalau jokowi proyek jadi bukan an presiden buat ikn bangun,Netral
silah salah bijak sendirisendiri tuju selesai semua nya bagi kerja negara ikn,Netral
,Netral
maksa sangat duit,Negatif
kelompok ganggu sendiri sebentar bagaimana agama bos masjid ibadah tempat sama mantap kalau kok kadrun ikn bangun,Positif
kagak gereja lol bangun,Negatif
korupsi ladang,Positif
yah tka china banyak sana,Netral
terusss kembang jalan berkah lancar aamiin moga indonesia maju,Positif
lancar beri moga,Positif
cepat kalau pindah,Netral
rumah kok,Negatif
negeri semangat bangun,Positif
ah rekrutmen open mau jadi ikn,Netral
gin dlu jaman bayangin buka bikin raja kalau iya hutan buat ibukota,Netral
rugi remeh situasi pasu hancur udah jembatan lawan perang siapa sekarang an,Negatif
lamar cara bagaimana bang proyek kerja,Netral
bangga nkri cepat ku jadi bangsa moga semangat indonesia ikn,Positif
dukung sangat warga ikn,Positif
pikirin on soal tanya ngapain uu kaya datang iya presiden,Netral
korupsi jalan lancar proyek moga bangun,Positif
,Netral
sini kerja moga,Netral
reformasi buah luar realisasi jawa mudah akhir presiden istana,Positif
mangkrak hambalang meikarta,Negatif
